address_id,delivery_address1,delivery_address2,delivery_city,delivery_zipcode
1,322 Warner Lane,Suite 97,Brnaze,21230
2,3166 6th Drive,Apt 89,Envigado,055428
3,64 Lawn Point,PO Box 57475,Lensk,678149
4,88 Scoville Pass,Suite 84,Krajan,
5,24 Arizona Drive,,Shofirkon,
6,1 Mccormick Parkway,8th Floor,Sukamaju,
7,1031 Village Park,Room 773,Shuiquan,
8,53935 Stoughton Place,Suite 53,Cilegi,
9,38 Orin Terrace,9th Floor,Acevedo,417088
10,695 Dawn Street,1st Floor,Taipei,
11,45 Melvin Place,3rd Floor,Tshela,
12,7938 Randy Place,Room 874,Tawaramoto,639-1156
13,062 Sheridan Avenue,PO Box 73145,Embi,
14,75062 Marquette Street,Apt 56,Kohtla-Järve,
15,3395 Kingsford Point,Apt 1418,Shwebo,
16,106 Erie Place,17th Floor,Deán Funes,5613
17,879 Coolidge Pass,,Ciudad Bolivia,
18,2240 Dottie Street,Suite 25,Hengjiang,
19,09455 Packers Drive,Suite 17,Ōtake,741-0092
20,5 Sauthoff Junction,,Duobagou,
21,76130 Hanover Drive,Room 594,Maslovka,394077
22,162 Mifflin Terrace,4th Floor,Shantoudian,
23,01 Rieder Court,PO Box 81498,Naikolan,
24,11 Sauthoff Circle,,Glinojeck,06-450
25,4903 Old Gate Junction,,Czerniejewo,62-250
26,8652 Hovde Terrace,Room 395,Jingling,
27,0253 Emmet Pass,Suite 92,Okinawa Número Uno,
28,18 Mosinee Way,Apt 327,Sukorejo,
29,0 Shelley Terrace,PO Box 11096,Aucallama,
30,72393 Weeping Birch Trail,Apt 729,Luftinjë,
31,56 Gerald Way,,Västra Frölunda,426 57
32,671 Warbler Center,Apt 1092,Bicesse,2645-168
33,5194 Superior Way,,Huangli,
34,8 Cherokee Circle,Suite 27,Alemanguan,3524
35,50596 Meadow Ridge Pass,Apt 658,Wilamowice,43-330
36,63 Talmadge Street,Apt 1204,Xinó Neró,
37,337 Welch Trail,Room 1346,Las Toscas,
38,549 Dovetail Terrace,,Gorna Oryakhovitsa,5145
39,86570 Lotheville Drive,1st Floor,Hajoho,
40,7540 Eastlawn Point,Suite 98,Ficksburg,9732
41,939 Riverside Street,Room 2,Saint-Raymond,G3L
42,9852 Bartillon Terrace,,Łęczyce,84-218
43,8126 Glendale Plaza,Apt 1587,Pengfang,
44,0 Karstens Lane,Room 1837,Randfontein,1771
45,27816 Sachs Plaza,,Nunutba,
46,0 Troy Trail,PO Box 35456,Biritiba Mirim,08940-000
47,88589 Arrowood Parkway,Suite 15,Baitu,
48,9937 Hermina Lane,Apt 159,Tuchkovo,143142
49,1 Bartelt Drive,Room 1645,Zharkent,
50,0 Twin Pines Road,Apt 1295,Grand Junction,81505
